tribunal_enc,tema_enc,taxa_vitoria_juiz,taxa_vitoria_tribunal,taxa_vitoria_tema,prec_norm,qualidade_provas,segundo_grau,label,numero_processo
12,96,1.0,0.7495151906916613,0.7434701492537313,1.0,1,0,1,00000169620218260622
12,96,1.0,0.7495151906916613,0.7434701492537313,1.0,1,0,1,00000170320208260530
12,22,0.5,0.7495151906916613,0.7890127388535032,0.9333333333333333,1,0,0,00000170420248260452
12,383,1.0,0.7495151906916613,1.0,1.0,1,0,1,00000170820228260344
12,1030,0.46875,0.7495151906916613,0.8079268292682927,1.0,1,0,1,00000171120218260128
12,559,0.6,0.7495151906916613,0.38333333333333336,1.0,1,0,0,00000171920208260654
12,1041,0.9895833333333334,0.7495151906916613,0.801762114537445,0.9666666666666667,1,0,1,00000172320238260651
12,559,1.0,0.7495151906916613,0.38333333333333336,1.0,1,0,1,00000172420238260198
12,315,1.0,0.7495151906916613,0.5,1.0,1,0,1,00000172620248260283
12,1045,0.9285714285714286,0.7495151906916613,1.0,1.0,1,0,1,00000174320228260300
12,96,1.0,0.7495151906916613,0.7434701492537313,1.0,1,0,1,00000175220208260546
12,818,0.65,0.7495151906916613,0.588469184890656,1.0,1,0,1,00000175620218260695
12,384,0.75,0.7495151906916613,0.972972972972973,0.8333333333333334,1,0,0,00000178320208260568
12,365,0.3157894736842105,0.7495151906916613,0.5380434782608695,0.5666666666666667,1,0,0,00000178620228260512
12,964,0.8409090909090909,0.7495151906916613,0.9635036496350365,1.0,1,0,1,00000179520208260370
12,964,0.9375,0.7495151906916613,0.9635036496350365,1.0,1,0,1,00000179620208260596
12,365,0.3157894736842105,0.7495151906916613,0.5380434782608695,1.0,1,0,0,00000180820218260512
12,1041,0.9895833333333334,0.7495151906916613,0.801762114537445,1.0,1,0,1,00000180820238260651
12,1030,1.0,0.7495151906916613,0.8079268292682927,1.0,1,0,1,00000181320248260153
12,440,0.75,0.7495151906916613,0.3,1.0,1,0,0,00000181520228260272
12,1160,0.5,0.7495151906916613,0.3333333333333333,1.0,1,0,0,00000181720238260357
12,172,0.0,0.7495151906916613,0.5335570469798657,1.0,1,0,0,00000181820208260617
12,1041,0.9285714285714286,0.7495151906916613,0.801762114537445,1.0,1,0,1,00000182820228260300
12,1030,1.0,0.7495151906916613,0.8079268292682927,1.0,1,0,1,00000183120208260257
12,1041,0.515625,0.7495151906916613,0.801762114537445,1.0,1,0,0,00000183420228260589
12,818,0.65,0.7495151906916613,0.588469184890656,0.9,1,0,0,00000184120218260695
12,764,0.7142857142857143,0.7495151906916613,0.4772727272727273,1.0,1,0,1,00000185820218260172
12,429,1.0,0.7495151906916613,0.6428571428571429,1.0,1,0,1,00000186020228260160
12,818,0.8333333333333334,0.7495151906916613,0.588469184890656,1.0,1,0,0,00000186420228260579
12,96,1.0,0.7495151906916613,0.7434701492537313,1.0,1,0,1,00000187020208260535
12,1041,0.8333333333333334,0.7495151906916613,0.801762114537445,1.0,1,0,1,00000187120248260263
